title, author, genre
A Game of Thrones, George R.R. Martin, fantasy
A Clash of Kings, George R.R. Martin, fantasy
A Storm of Swords, George R.R. Martin, fantasy
A Feast of Crows, George R.R. Martin, fantasy
A Dance with Dragons, George R.R. Martin, fantasy
Prelude to Foundation, Isaac Asimov, sci-fi
Forward the Foundation, Isaac Asimov, sci-fi
Foundation, Isaac Asimov, sci-fi
Foundation and Empire, Isaac Asimov, sci-fi
Second Foundation, Isaac Asimov, sci-fi
Foundation's Edge, Isaac Asimov, sci-fi
Foundation and Earth, Isaac Asimov, sci-fi
The Complete Robot, Isaac Asimov, sci-fi
The Caves of Steel, Isaac Asimov, sci-fi
The Naked Sun, Isaac Asimov, sci-fi
The Robots of Dawn, Isaac Asimov, sci-fi
Robots and Empire, Isaac Asimov, sci-fi
The Currents of Space, Isaac Asimov, sci-fi
"The Stars, Like Dust", Isaac Asimov, sci-fi
Pebble in the Sky, Isaac Asimov, sci-fi
The Martian, Andy Weir, sci-fi
1984, George Orwell, dystopian
Ubik, Philip K. Dick, sci-fi
Galactic Pot-Healer, Philip K. Dick, sci-fi
The Lost World, Arthur Conan Doyle, adventure
A Study in Scarlet, Arthur Conan Doyle, mystery
The Sign of the Four, Arthur Conan Doyle, mystery
The Adventures of Sherlock Holmes, Arthur Conan Doyle, mystery
The Memoirs of Sherlock Holmes, Arthur Conan Doyle, mystery
The Hound of the Baskervilles, Arthur Conan Doyle, mystery
The Return of Sherlock Holmes, Arthur Conan Doyle, mystery
His Last Bow, Arthur Conan Doyle, mystery
The Valley of Fear, Arthur Conan Doyle, mystery
The Case-Book of Sherlock Holmes, Arthur Conan Doyle, mystery
The War of the Worlds, H.G. Wells, sci-fi
Nightfall, "Isaac Asimov, Robert Silverberg", sci-fi
